fold,n_days,mean_ic,ic_std,ci_lo_95,ci_hi_95,ci_excludes_zero
1,126,-0.009808,0.172656,-0.041298,0.020309,False
2,126,-0.012514,0.23507,-0.054329,0.030933,False
3,126,0.023264,0.212472,-0.011502,0.057843,False
4,126,-0.014358,0.219544,-0.063352,0.027013,False
5,126,-0.025019,0.221759,-0.058628,0.011406,False
6,126,-0.017612,0.234249,-0.064698,0.017428,False
7,126,0.001168,0.214623,-0.042039,0.044933,False
8,126,0.000463,0.217921,-0.03783,0.045971,False
9,126,0.009455,0.203644,-0.030543,0.047273,False
10,126,-0.017562,0.233554,-0.066238,0.026846,False
11,126,-0.005467,0.236204,-0.047627,0.034612,False
12,126,0.010378,0.22826,-0.02889,0.05135,False
