fold,test_start,test_end,n_tickers,n_days,mean_ic,ic_std,icir,t_stat,p_value,gate_open,ece_proxy
1,2018-10-19,2019-04-23,83,126,-0.017542,0.155465,-0.112834,-1.543995,0.937441,False,0.499107
2,2019-04-24,2019-10-21,83,126,-0.006165,0.130833,-0.047124,-0.54623,0.707059,False,0.499022
3,2019-10-22,2020-04-22,83,126,0.01781,0.14637,0.121679,1.388247,0.083766,False,0.500004
4,2020-04-23,2020-10-20,83,126,-0.012957,0.131538,-0.0985,-1.33926,0.908542,False,0.498085
5,2020-10-21,2021-04-22,83,126,-0.018432,0.134641,-0.136894,-1.523875,0.934967,False,0.498493
6,2021-04-23,2021-10-20,83,126,0.015471,0.176973,0.087422,1.028386,0.152877,False,0.499514
7,2021-10-21,2022-04-21,83,126,-0.012245,0.156779,-0.078106,-0.792838,0.785313,False,0.501648
8,2022-04-22,2022-10-20,83,126,-0.015118,0.165427,-0.091386,-0.995983,0.839409,False,0.500747
9,2022-10-21,2023-04-24,83,126,-0.012781,0.149632,-0.085416,-1.208461,0.885424,False,0.499999
10,2023-04-25,2023-10-23,83,126,-0.007697,0.148701,-0.051762,-0.615254,0.730247,False,0.499711
11,2023-10-24,2024-04-24,83,126,-0.002771,0.152625,-0.018158,-0.241583,0.595251,False,0.500003
12,2024-04-25,2024-10-23,83,126,-0.001851,0.175366,-0.010553,-0.1255,0.549835,False,0.499457
