,fold_9,fold_10,fold_11,fold_12,mean_across_folds
rolling_vol_63d,0.003407906656991468,0.006134750147130876,0.0023415870705731276,0.0016364241319763168,0.003380167001667947
EMA_50,0.0035765250868065356,0.0019066868209232748,0.0027382099509241586,0.002402175764969848,0.0026558994059059544
OC_body_norm,0.0021090685801701324,0.0038480110846371724,0.002718964387938712,0.0014750321743589355,0.002537769056776238
MFI_14,0.0026131373029321466,0.006003745776466219,0.0013237305453937893,0.0,0.0024851534061980387
MACD_hist,0.002709668965638464,0.006585669975642087,0.0,0.0,0.0023238347353201376
Williams_R,0.0021951616536788924,0.002386549101727766,0.002498742565312446,0.0016623461581630832,0.002185699869720547
VWAP_deviation,0.00358080080474918,0.0028828218241133247,0.0011300477953498356,0.0006428397355857517,0.002059127539949523
stoch_D,0.003238672397452401,0.0,0.0024673169240298507,0.0019134065367056214,0.0019048489645469683
DPO_20,0.0025716668976035776,0.002780692334115295,0.001252184101646194,0.0009936700719768965,0.0018995533513354907
volume_zscore_21d,0.004983554432586273,0.0022474728228134254,0.0,0.0,0.0018077568138499245
return_2d,0.002962773013450745,0.0029965966345761974,0.0006856425588836196,0.0005705790770025684,0.0018038978209782824
HL_range_norm,0.0016987212630004869,0.0024599056422826707,0.0022825017866724994,0.0,0.0016102821729889142
rolling_vol_21d,0.0030522577926506435,0.0016239958539137017,0.0012517170210909045,0.0,0.0014819926669138125
return_1d,0.0027691263336440263,0.0029509424969527283,0.0,0.0,0.0014300172076491886
volume_zscore_5d,0.0015328766688380085,0.0016582232526344113,0.0011917632500574816,0.0010928223846626013,0.0013689213890481257
BB_lower,0.001458427753258996,0.0026135330271562034,0.0013582577749276176,0.0,0.0013575546388357041
EMA_21,0.0037129268817649584,0.0016955368847903101,0.0,0.0,0.0013521159416388171
ROC_10,0.0022641617374703988,0.0018771052198042943,0.0011684778178550302,0.0,0.0013274361937824308
SMA_50,0.0009048901340886565,0.0021312894656943015,0.0009356992380191591,0.0012419623144066198,0.0013034602880521843
MACD_12_26,0.0012777070600180902,0.0006468753833365201,0.001551037861846417,0.0013744266530161342,0.0012125117395542903
BB_pct_b,0.0031289930767481257,0.0015958566637063222,0.0,0.0,0.0011812124351136119
return_10d,0.0,0.004636020489987079,0.0,0.0,0.0011590051224967697
BB_width,0.0022956889147126916,0.000779893507525815,0.0005672189362472513,0.0007004652204138579,0.001085816644724904
upper_shadow_ratio,0.002928120926259159,0.001353660999067308,0.0,0.0,0.0010704454813316167
MACD_signal_9,0.0,0.003028723392189664,0.0,0.0010746316692654692,0.0010258387653637833
return_3d,0.0010415345537333315,0.0030520207114530756,0.0,0.0,0.0010233888162966018
ATR_21,0.0016418075144729385,0.0024308844103793303,0.0,0.0,0.0010181729812130673
EMA_9,0.0021356912583241007,0.0017686924322741844,0.0,0.0,0.0009760959226495713
return_5d,0.0,0.0036896182621489948,0.0,0.0,0.0009224045655372487
ROC_21,0.0013981362018607698,0.0022656276180635653,0.0,0.0,0.0009159409549810838
RSI_14,0.0022486923342422875,0.001240121567029648,0.0,0.0,0.0008722034753179839
ATR_14,0.0013406612839560366,0.002002616049450569,0.0,0.0,0.0008358193333516514
OBV_EMA,0.0012831990391446201,0.0007579770620021562,0.0009215755308238212,0.0,0.0007406879079926493
EMA_200,0.0,0.0028363147784640987,0.0,0.0,0.0007090786946160247
ADX_14,0.0009477860477245943,0.0,0.0009489037652523093,0.0007158788170558622,0.0006531421575081915
price_to_SMA200,0.0018163918720373216,0.0007486276398183248,0.0,0.0,0.0006412548779639116
DI_plus,0.0012846427562370542,0.0012686143114623055,0.0,0.0,0.0006383142669248399
OBV,0.0019284867004488039,0.0004287832797848151,0.0,0.0,0.0005893174950584048
price_to_SMA50,0.0010317915564304375,0.0012773419160284365,0.0,0.0,0.0005772833681147184
lower_shadow_ratio,0.0007353767565399088,0.0013241895241152368,0.0,0.0,0.0005148915701637864
return_21d,0.0012462174240580814,0.0008027191340526675,0.0,0.0,0.0005122341395276872
rolling_vol_5d,0.0017299708525955197,0.0,0.0,0.0,0.00043249271314887993
BB_upper,0.0,0.001686146635698604,0.0,0.0,0.000421536658924651
DI_minus,0.0,0.0011205351971209936,0.0,0.0,0.0002801337992802484
SMA_200,0.0,0.0010958613609725085,0.0,0.0,0.0002739653402431271
CCI_20,0.001005316812909075,0.0,0.0,0.0,0.00025132920322726873
BB_mid,0.0,0.0,0.0,0.0,0.0
RSI_21,0.0,0.0,0.0,0.0,0.0
stoch_K,0.0,0.0,0.0,0.0,0.0
